"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"Kimi_Agent_تحليل نظام EJLive","EJLive_Enterprise_Documentation.docx","EJLive_Enterprise_Documentation.docx",".docx","2114504","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"Kimi_Agent_تحليل نظام EJLive","EJLiveEnterprise/EJLive.Client/app.manifest","app.manifest",".manifest","915","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
"Kimi_Agent_تحليل نظام EJLive","EJLiveEnterprise/EJLive.Client/Controls/DarkButton.cs","DarkButton.cs",".cs","2717","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","1","EJLive.Client.Controls","1","DarkButton","1","3"
"Kimi_Agent_تحليل نظام EJLive","EJLiveEnterprise/EJLive.Client/Controls/StatusCard.cs","StatusCard.cs",".cs","3145","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","False","False","False","False","1","EJLive.Client.Controls","1","StatusCard","1","5"
"Kimi_Agent_تحليل نظام EJLive","EJLiveEnterprise/EJLive.Client/Controls/ThemeColors.cs","ThemeColors.cs",".cs","3700","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","1","EJLive.Client.Controls","1","ThemeColors","3","0"
"Kimi_Agent_تحليل نظام EJLive","EJLiveEnterprise/EJLive.Client/EJLive.Client.csproj","EJLive.Client.csproj",".csproj","616","CSharp Project","Project Structure","Original project file used for dependency and assembly mapping.","False","True","False","False","0","","0","","0","0"
"Kimi_Agent_تحليل نظام EJLive","EJLiveEnterprise/EJLive.Client/Forms/LogViewerForm.cs","LogViewerForm.cs",".cs","3240","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","False","True","False","False","1","EJLive.Client.Forms","1","LogViewerForm","2","2"
"Kimi_Agent_تحليل نظام EJLive","EJLiveEnterprise/EJLive.Client/Forms/MainForm.cs","MainForm.cs",".cs","13027","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","False","True","False","False","1","EJLive.Client.Forms","1","MainForm","8","8"
"Kimi_Agent_تحليل نظام EJLive","EJLiveEnterprise/EJLive.Client/Forms/SettingsForm.cs","SettingsForm.cs",".cs","7993","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","False","True","False","False","1","EJLive.Client.Forms","1","SettingsForm","5","3"
"Kimi_Agent_تحليل نظام EJLive","EJLiveEnterprise/EJLive.Client/Program.cs","Program.cs",".cs","2085","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","1","EJLive.Client","1","Program","1","3"
