"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/archive/README.md","README.md",".md","376","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","False","False","False","False","0","","0","","0","0"
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/CHANGES.md","CHANGES.md",".md","678","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Client.WinForms/app.config","app.config",".config","816","Configuration/Data","Reference/Future Development","Original configuration or data artifact used to preserve runtime assumptions.","False","False","False","False","0","","0","","0","0"
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Client.WinForms/AppBootstrapper.cs","AppBootstrapper.cs",".cs","849","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","1","EJLive.Client.WinForms","1","AppBootstrapper","1","3"
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Client.WinForms/ClientMainForm.bind.cs","ClientMainForm.bind.cs",".cs","462","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","1","EJLive.Client.WinForms","1","ClientMainForm","0","2"
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Client.WinForms/ClientMainForm.cs","ClientMainForm.cs",".cs","151952","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","True","False","False","False","1","EJLive.Client.WinForms","2","ClientMainForm;ServiceRowState","116","38"
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Client.WinForms/ClientMainForm.resx","ClientMainForm.resx",".resx","5814","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Client.WinForms/Controls/DarkButton.cs","DarkButton.cs",".cs","2782","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.Controls","1","DarkButton","1","6"
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Client.WinForms/Controls/StatusCard.cs","StatusCard.cs",".cs","3170","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","False","False","True","True","1","EJLive.Client.Controls","1","StatusCard","1","6"
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Client.WinForms/packages.config","packages.config",".config","312","Configuration/Data","Reference/Future Development","Original configuration or data artifact used to preserve runtime assumptions.","False","False","False","False","0","","0","","0","0"
